epoch,train_loss,val_loss
1,0.018191528400476976,0.007894303346984089
2,0.00929046605707771,0.0148966807522811
3,0.008047856067755271,0.0062934444809798155
4,0.007240134765853798,0.00641249255859293
5,0.006897442220397812,0.0062202385743148625
6,0.00647534573483104,0.006019990600179881
7,0.006228556622945574,0.007905154780019075
8,0.006080166525885321,0.005935586456325836
9,0.005869063822835495,0.0070862191321793945
10,0.0057545094146640805,0.006069185765227303
11,0.005637034532154286,0.00619344828883186
12,0.005446822395772213,0.006176406558370218
13,0.005401145027290228,0.0055244554358068855
14,0.005264883348128841,0.005546104093082249
15,0.005340950823274052,0.005743512167828158
16,0.0051886306845736275,0.006032295251497999
17,0.005006714218555466,0.006061847961973399
18,0.0049891095377115795,0.005535501326085069
19,0.00483244034215584,0.005401071324013173
20,0.004738300426088014,0.005457566017867066
21,0.004787190326215416,0.005667681561317295
22,0.004573044463656135,0.005389963730704039
23,0.0046757285242245965,0.005352766040596179
24,0.004421748761736045,0.005399398560984992
25,0.00461093040037299,0.005649835808435455
26,0.004509854526111644,0.005619585089152679
27,0.004390112233430713,0.00977744652191177
28,0.004296602099202573,0.00621097713301424
29,0.004388092988306256,0.00527622274676105
30,0.0041899640482255035,0.006510962289758027
31,0.004309146104695841,0.010478722082916647
32,0.004201852225792842,0.005314485443523154
33,0.00402706424201709,0.005207688576774672
34,0.0039619907123019,0.0056594264809973534
35,0.004169799964373955,0.004914864187594503
36,0.00395367168261422,0.005110168518149294
37,0.0038222354170689477,0.005200007205712609
38,0.0037837893775033563,0.005375260912114754
39,0.00391269687016471,0.005241484200814739
40,0.004115740861817369,0.005865300225559622
41,0.0038901801859146526,0.005380871551460586
42,0.0036859736225974475,0.005093600737745873
